function,protocol,direction,description,method_id
acceptBid,RARIBLE,BOTH,Accepts NFT bid,0xbc61394a
acceptOffer,AXIE,BOTH,Accepts offer on Axie,0xbc61394a
acceptOffer,BIGTIME,BOTH,Accepts offer on item,0xbc61394a
acceptOffer,CRYPTO_UNICORNS,BOTH,Accepts offer on unicorn,0xbc61394a
acceptOffer,EMBER_SWORD,BOTH,Accepts offer on item,0xbc61394a
acceptOffer,GODS_UNCHAINED,BOTH,Accepts offer on card,0xbc61394a
acceptOffer,PEGAXY,BOTH,Accepts offer on Pega,0xbc61394a
acceptOffer,SORARE,BOTH,Accepts card offer,0xbc61394a
acceptOffer,STEPN,BOTH,Accepts offer on shoe,0xbc61394a
acceptOffer,MAGICEDEN,BOTH,Accepts NFT offer,0xbc61394a
acceptOffer,MAGICEDEN,BOTH,Accepts NFT offer,0xbc61394a
acceptOffer,X2Y2,BOTH,Accepts NFT offer,0xbc61394a
acceptQuote,HASHFLOW,BOTH,Accepts RFQ quote,0x7c025200
act,LENS,OUTGOING,Performs publication action,0x3a088cd2
activateDeal,FILECOIN,OUTGOING,Activates storage deal,0x7535d246
activatePool,BANCOR,OUTGOING,Activates pool for trading,0x67118c24
add_liquidity,BALANCER,OUTGOING,Add liquidity to pool,0x4515cef3
add_liquidity,CURVE,OUTGOING,Adds liquidity to pool,0x0b4c7e4d
add_liquidity,CURVE,OUTGOING,Adds liquidity to pool,0x0b4c7e4d
add_liquidity,CURVE,OUTGOING,Adds liquidity to tricrypto,0x0b4c7e4d
add_liquidity_one_coin,CURVE,OUTGOING,Adds single token liquidity,0x9f69b6d1
addBribe,DYSTOPIA,OUTGOING,Adds bribe to gauge,0x3a088cd2
addBribe,RAMSES,OUTGOING,Adds bribe to gauge,0x3a088cd2
addBribe,VELODROME,OUTGOING,Adds bribe to gauge,0x3a088cd2
addCollateral,POLYNOMIAL,OUTGOING,Adds collateral to position,0x47e7ef24
addCollateral,SYNTHETIX,OUTGOING,Adds SNX collateral,0x47e7ef24
addCollateral,FRAX,OUTGOING,Adds collateral to position,0x47e7ef24
addContext,BRIGHTID,OUTGOING,Adds verification context,0x4ce38b5f
addFile,IPFS,OUTGOING,Adds file to IPFS,0x1698ee82
addLiquidity,ACROSS,OUTGOING,Adds liquidity to bridge pool,0xe8e33700
addLiquidity,ACROSS,OUTGOING,Adds liquidity to bridge pool V2,0xe8e33700
addLiquidity,ALLBRIDGE,OUTGOING,Adds liquidity to bridge pool,0xe8e33700
addLiquidity,CELER,OUTGOING,Adds liquidity to bridge,0xe8e33700
addLiquidity,HOP,OUTGOING,Adds liquidity to bridge pool,0xe8e33700
addLiquidity,HOP,OUTGOING,Adds liquidity to bridge pool V2,0xe8e33700
addLiquidity,MULTICHAIN,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,STARGATE,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,SYMBIOSIS,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,SYNAPSE,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,DRIFT,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,GMX,OUTGOING,Adds liquidity to GLP,0x68bf9329
addLiquidity,LEVEL,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,MYCELIUM,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,VELA,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,BANCOR,OUTGOING,Adds single-sided liquidity,0x0b4c7e4d
addLiquidity,BEETHOVEN,OUTGOING,Adds liquidity to specific pool,0xe8e33700
addLiquidity,BISWAP,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,CAMELOT,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,CHRONOS,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,DYSTOPIA,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,HASHFLOW,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,KYBERSWAP,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,LOOPRING,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,MAVERICK,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,MAVERICK,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,MESH_SWAP,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,MIX_SWAP,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,PANCAKESWAP,OUTGOING,Adds liquidity to token pair,0xe8e33700
addLiquidity,PLATYPUS,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,QUICKSWAP,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,RAMSES,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,RAYDIUM,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,SOLIDLY,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,SPIRITSWAP,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,SPOOKYSWAP,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,SUSHISWAP,OUTGOING,Adds liquidity to token pair,0xe8e33700
addLiquidity,SUSHISWAP,OUTGOING,Adds concentrated liquidity to pool,0x0f4f8da7
addLiquidity,TRADERJOE,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,UNISWAP,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,UNISWAP,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,VELODROME,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,VULPEFI,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,WOMBAT,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,ZERION,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,ZYBERSWAP,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,POLYMARKET,OUTGOING,Adds liquidity to market,0xe8e33700
addLiquidity,NFTX,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,SUDOSWAP,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,LYRA,OUTGOING,Adds liquidity to pool,0xe8e33700
addLiquidity,PREMIA,OUTGOING,Adds pool liquidity,0xe8e33700
addLiquidity,MONERO,OUTGOING,Adds bridge liquidity,0xe8e33700
addLiquidity,ZCASH,OUTGOING,Adds bridge liquidity,0xe8e33700
addLiquidity,STAKEWISE,OUTGOING,Adds pool liquidity,0xe8e33700
addLiquidityAVAX,TRADERJOE,OUTGOING,Adds liquidity with AVAX,0xf305d719
addLiquidityBinning,MAVERICK,OUTGOING,Adds liquidity with binning,0x9b3d47b4
addLiquidityBinning,MAVERICK,OUTGOING,Adds liquidity with binning,0x9b3d47b4
addLiquidityBNB,BISWAP,OUTGOING,Adds liquidity with BNB,0xf305d719
addLiquidityETH,CAMELOT,OUTGOING,Adds liquidity with ETH,0xf305d719
addLiquidityETH,CHRONOS,OUTGOING,Adds liquidity with ETH,0xf305d719
addLiquidityETH,DYSTOPIA,OUTGOING,Adds liquidity with ETH,0xf305d719
addLiquidityETH,PANCAKESWAP,OUTGOING,Adds liquidity with BNB,0xf305d719
addLiquidityETH,QUICKSWAP,OUTGOING,Adds liquidity with ETH,0xf305d719
addLiquidityETH,RAMSES,OUTGOING,Adds liquidity with ETH,0xf305d719
addLiquidityETH,SUSHISWAP,OUTGOING,Adds liquidity with ETH,0xf305d719
addLiquidityETH,UNISWAP,OUTGOING,Adds liquidity with ETH,0xf305d719
addLiquidityETH,ZYBERSWAP,OUTGOING,Adds liquidity with ETH,0xf305d719
addLiquidityFor,BANCOR,OUTGOING,Adds liquidity on behalf of another address,0x82241490
addLiquidityFTM,SPIRITSWAP,OUTGOING,Adds liquidity with FTM,0xf305d719
addLiquidityFTM,SPOOKYSWAP,OUTGOING,Adds liquidity with FTM,0xf305d719
addLiquidityMATIC,MESH_SWAP,OUTGOING,Adds liquidity with MATIC,0xf305d719
addLiquidityNative,WOMBAT,OUTGOING,Adds native token liquidity,0xf305d719
addMargin,HUBBLE,OUTGOING,Adds margin to position,0x47e7ef24
addMargin,PERPETUAL,OUTGOING,Adds margin to position,0x47e7ef24
addMargin,ROLLBIT,OUTGOING,Adds position margin,0x47e7ef24
addNFT,SUDOSWAP,OUTGOING,Adds NFT to pool,0x47e7ef24
addOwner,GNOSIS,OUTGOING,Adds Safe owner,0x0d582f13
addPinningService,IPFS,OUTGOING,Adds remote pinning service,0x1698ee82
addReward,CONCENTRATOR,OUTGOING,Adds new reward token,0x3a088cd2
addStaticLiquidity,KYBERSWAP,OUTGOING,Adds static liquidity to pool,0x4515cef3
addStorage,FARCASTER,OUTGOING,Adds storage provider,0x47e7ef24
addStrategy,YEARN,OUTGOING,Adds new strategy,0x1698ee82
addStrategy,YEARN,OUTGOING,Adds new strategy,0x1698ee82
addToPosition,GAINS,OUTGOING,Increases position size,0x219f5d17
addToPosition,MYCELIUM,OUTGOING,Increases position size,0x219f5d17
adjustPosition,LYRA,BOTH,Adjusts position parameters,0x0c49ccbe
afterInitialize,UNISWAP,OUTGOING,Hook after pool initialization,0x91c49bf8
afterModifyPosition,UNISWAP,OUTGOING,Hook after position modification,0x2c5c3e56
afterSwap,UNISWAP,OUTGOING,Hook after swap,0x1c12d3b1
aggregateValues,REDSTONE,NEUTRAL,Aggregates price values,0x98f4b1b2
analyze,ZERION,NEUTRAL,Analyzes portfolio metrics,0x7535d246
anySwapIn,MULTICHAIN,INCOMING,Receives bridged tokens,0x4ce38b5f
anySwapInNative,MULTICHAIN,INCOMING,Receives bridged native tokens,0x32b7006d
anySwapOut,MULTICHAIN,OUTGOING,Bridges tokens out,0x8b9e4f93
anySwapOutNative,MULTICHAIN,OUTGOING,Bridges native tokens out,0xb1a1a882
approve,UNISWAP,OUTGOING,Approves position transfer,0x095ea7b3
approve,ERC20,OUTGOING,Approves token allowance,0x095ea7b3
approve,ERC3525,OUTGOING,Approves value transfer,0x095ea7b3
approve,ERC721,OUTGOING,Approves NFT transfer,0x095ea7b3
approveAndCall,ETH_GENERIC,OUTGOING,Approves spending and calls another contract,0xcae9ca51
approveAndCall,ETH_GENERIC,OUTGOING,Approve and execute in one transaction,0xcae9ca51
approveDelegation,AAVE,OUTGOING,Approves credit delegation for another address,0x7d7a70b7
approveLoan,MAPLE,OUTGOING,Approves loan request,0x4ce38b5f
approveLoan,TRUEFI,OUTGOING,Approves loan request,0x7535d246
approveValue,ERC3525,OUTGOING,Approves specific value,0x1086a9af
askPool,DODO,OUTGOING,Places ask in pool,0x2f4f5cc5
assessLoan,GOLDFINCH,OUTGOING,Assesses loan application,0x7535d246
attestToken,WORMHOLE,OUTGOING,Attests token for bridging,0x3a088cd2
auctionStart,MAKER,OUTGOING,Starts collateral auction,0x9f678cca
backUnbacked,AAVE,OUTGOING,Backs previously unbacked aTokens with collateral,0xd65dc7a1
batch,BALANCER,OUTGOING,Executes multiple operations in a single transaction,0x7f9fc72c
batchFillOrders,ZEROEX,BOTH,Fills multiple orders,0x945bcec9
batchSettlement,ROOK,BOTH,Settles multiple orders,0x945bcec9
batchSwap,BALANCER,BOTH,Executes batch of swaps,0x945bcec9
batchSwap,BALANCER,BOTH,Performs multiple swaps,0x945bcec9
batchSwap,BEETHOVEN,BOTH,Performs multiple token swaps,0x945bcec9
batchSwap,MAVERICK,BOTH,Executes multiple swaps,0x945bcec9
batchSwap,MAVERICK,BOTH,Executes multiple swaps,0x945bcec9
batchSwap,VULPEFI,BOTH,Executes multiple swaps,0x945bcec9
batchSwap,ZERION,BOTH,Executes batch of swaps,0x945bcec9
batchTrade,GNOSIS,BOTH,Executes batch of trades,0x945bcec9
batchTrade,COWSWAP,BOTH,Executes batch of trades,0x945bcec9
beefIn,BEEFY,OUTGOING,Zaps tokens into vault,0x6d914547
beefInETH,BEEFY,OUTGOING,Zaps ETH into vault,0x29b3d8f1
beefOut,BEEFY,INCOMING,Zaps out of vault,0x0c2d3f2b
beefOutETH,BEEFY,INCOMING,Zaps vault to ETH,0x4c8d8528
beforeInitialize,UNISWAP,OUTGOING,Hook before pool initialization,0x6d4f0e36
beforeModifyPosition,UNISWAP,OUTGOING,Hook before position modification,0x3687b58c
beforeSwap,UNISWAP,OUTGOING,Hook before swap,0x9d2f32dd
betBear,PANCAKESWAP,OUTGOING,Places DOWN prediction bet,0x223c3de5
betBull,PANCAKESWAP,OUTGOING,Places UP prediction bet,0x57fb096f
bidPool,DODO,OUTGOING,Places bid in pool,0x454a2ab3
bite,MAKER,BOTH,Initiates liquidation,0xa4c0ed36
blacklist,ERC20,OUTGOING,Blacklists address,0xf9f92be4
blockProfile,LENS,OUTGOING,Blocks profile,0x4b9f2d36
bonderFee,HOP,OUTGOING,Pays bonder fee,0x4ce38b5f
boostFarms,SPIRITSWAP,OUTGOING,Boosts farm yields,0x9b3d47b4
boostRewards,WOMBAT,OUTGOING,Boosts reward earnings,0x9b3d47b4
boostStake,BEETHOVEN,OUTGOING,Boosts staking position,0x9b3f3d20
borrow,DYDX,INCOMING,Borrows from margin pool,0xc858f5ba
borrow,TRADERJOE,INCOMING,Borrows assets from lending pool,0xc858f5ba
borrow,AAVE,INCOMING,Borrows tokens from the lending pool,0xc858f5ba
borrow,AAVE,INCOMING,Borrows an amount of asset with stable or variable rate,0xc858f5ba
borrow,AAVE,INCOMING,Borrows an amount of asset with stable or variable rate,0xa415bcad
borrow,BENQI,INCOMING,Borrows assets against collateral,0xc5ebeaec
borrow,COMPOUND,INCOMING,Borrows assets,0xc5ebeaec
borrow,COMPOUND,INCOMING,Borrows assets,0xc5ebeaec
borrow,CREAM,INCOMING,Borrows assets,0xc5ebeaec
borrow,EULER,INCOMING,Borrows assets,0xc5ebeaec
borrow,FRAX,INCOMING,Borrows FRAX tokens,0xc5ebeaec
borrow,GEIST,INCOMING,Borrows assets from protocol,0xc5ebeaec
borrow,GRANARY,INCOMING,Borrows assets from protocol,0xc5ebeaec
borrow,HUNDRED,INCOMING,Borrows assets from protocol,0xc5ebeaec
borrow,IRONBANK,INCOMING,Borrows assets from protocol,0xc5ebeaec
borrow,MORPHO,INCOMING,Borrows assets from protocol,0xc5ebeaec
borrow,RADIANT,INCOMING,Borrows assets from protocol,0xc5ebeaec
borrow,VENUS,INCOMING,Borrows assets from protocol,0xc5ebeaec
borrow,ALPACA,INCOMING,Borrows assets from protocol,0xc5ebeaec
borrowETH,AAVE,OUTGOING,Borrows ETH from the Aave protocol,0x66514c97
borrowNFT,BLUR,INCOMING,Borrows NFT from lender,0xc5ebeaec
borrowWithPermitSignature,AAVE,INCOMING,Borrows using EIP-2612 permit,0x1a8d3acd
breedAxies,AXIE,OUTGOING,Breeds new Axie,0x8f38249c
breedHorses,ZED_RUN,OUTGOING,Breeds new horse,0x8f38249c
breedPega,PEGAXY,OUTGOING,Breeds new Pega,0x8f38249c
breedUnicorns,CRYPTO_UNICORNS,OUTGOING,Breeds new unicorn,0x8f38249c
bridge,ALLBRIDGE,OUTGOING,Initiates bridge transfer,0x8b9e4f93
