method_id,function,protocol,direction,description
0x02751cec,"removeLiquidityAVAX, removeLiquidityBNB, removeLiquidityETH, removeLiquidityFTM, removeLiquidityMATIC, removeLiquidityNative","BISWAP, CAMELOT, CHRONOS, DYSTOPIA, MESH_SWAP, PANCAKESWAP, QUICKSWAP, RAMSES, SPIRITSWAP, SPOOKYSWAP, SUSHISWAP, TRADERJOE, UNISWAP, WOMBAT, ZYBERSWAP",INCOMING,Removes liquidity to AVAX
0x0a0e6b3b,"getPrices, getReferenceDataBulk","BAND, UMBRELLA",NEUTRAL,Gets multiple prices
0x0b4c7e4d,"addLiquidity, add_liquidity","BANCOR, CURVE",OUTGOING,Adds liquidity to pool
0x0c2d3f2b,"beefOut, zapOut","BEEFY, ZAPPER, ZERION, ZYBERSWAP",INCOMING,Zaps out of vault
0x0c49ccbe,"adjustPosition, decreaseLiquidity, decreasePosition, initiateWithdraw, modifyPosition, partialClosePosition, reducePosition, removeLiquidity, requestStakingWithdraw, requestWithdrawal, requestWithdrawals, stakeLPToken, stakeLiquidity","CAMELOT, DRIFT, DYDX, DYSTOPIA, GAINS, KWENTA, LEVEL, LIDO, LYRA, MYCELIUM, NFTX, ORCA, PANCAKESWAP, PERPETUAL, POLYNOMIAL, RIBBON, STADER, STAKESTONE, STAKEWISE, SUSHISWAP, TELLOR, UNISWAP",BOTH,Adjusts position parameters
0x0e752702,"repay, repayBorrow","BENQI, COMPOUND, CREAM, EULER",OUTGOING,Repays borrowed assets
0x128acb08,"exchange, swap, swapAndBridge, swapAndSend, swapNFTForToken, swapNoSplit, swapPoolTokens","ALLBRIDGE, GMX, HOP, LOOPRING, MAVERICK, MIX_SWAP, NFTX, ONEINCH, ORCA, PARASWAP, PLATYPUS, RAYDIUM, STAKESTONE, STARGATE, SUDOSWAP, SUSHISWAP, SYMBIOSIS, SYNAPSE, SYNTHETIX, UNISWAP, VULPEFI, WOMBAT, YIELD_YAK, ZERION",BOTH,Exchanges synths directly
0x15373e3d,"commitVote, vote, voteBribe, voteBribes","ALPACA, ANKR, API3, BALANCER, BANCOR, BAND, BINANCE, BULLPERKS, CENTRIFUGE, DECENTRAL, DIA, DOPEX, DYDX, FRAX, GNOSIS, GOLDFINCH, GRANARY, HEGIC, ILLUVIUM, INSURACE, LENS, LIDO, LYRA, MAKER, MAPLE, MONERO, NEXUS_MUTUAL, OETH, PIREX, POCKET, PREMIA, RADIANT, RAILWAY, RAMSES, REDACTED, SOLIDLY, STAKESTONE, STAKEWISE, SWELL, TELLOR, TORNADO, TRUEFI, UMA, UMBRELLA, UNSLASHED, VELODROME, WALLFAIR, YEARN",OUTGOING,Commits vote hash
0x1698ee82,"addFile, addPinningService, addStrategy, cast, craftItem, createApp, createAsset, createCollection, createCommunity, createDeal, createEvent, createGroup, createIdentity, createLazyMint, createLineup, createLoan, createMarket, createMiner, createMinipool, createMint, createOption, createPermissionlessNode, createPod, createPool, createPortfolio, createPresale, createProfile, createProfileWithHandle, createProof, createSchema, createVault, createWrapped, deployContract, enterRace, getPool, mine, plantSeeds, publishName, publishSubgraph, register, registerBuilder, registerCoordinator, registerDelegate, registerNode, registerOperator, registerOrb, registerSHO, registerSearcher, registerSolver, registerValidator, reserveSlot, startBattle, startGame, startMatch, startMeditation, startMission, startMove, startQuest, startRace, storeData, uploadData","ARWEAVE, AXIE, AZTEC, BANCOR, BIGTIME, BINANCE, BRIGHTID, CENTRIFUGE, CIVIC, COINLIST, COWSWAP, CRYPTO_UNICORNS, DAOMAKER, DECENTRAL, DEFI_KINGDOMS, DODO, EDEN, EIGENLAYER, EMBER_SWORD, FARCASTER, FILECOIN, FLASHBOTS, FRIEND_TECH, GAMEFI, GODS_UNCHAINED, GOLDFINCH, HASHFLOW, HEGIC, ILLUVIUM, IPFS, LENS, MAGICEDEN, MANIFOLD, MANTLE, MAPLE, NFTX, PEGAXY, PINKSALE, POCKET, POLYGONID, POLYMARKET, PORTAL, PREMIA, RAILWAY, RARIBLE, RAYDIUM, ROCKETPOOL, ROOK, SORARE, SPLINTERLANDS, STADER, STARGATE, STAR_ATLAS, STEPN, SUDOSWAP, SUSHISWAP, SWELL, THETAN_ARENA, THE_GRAPH, TORNADO, TRUEFI, UMA, UMBRELLA, UNISWAP, VELODROME, WALLFAIR, WORLDCOIN, WORMHOLE, YEARN, ZED_RUN",OUTGOING,Adds file to IPFS
0x1749e1e3,"vestEsGmx, vestRewards","GMX, KWENTA",OUTGOING,Vests esGMX tokens to GMX
