method_id,function,protocol,direction,description
0x4515cef3,add_liquidity,"BALANCER, KYBERSWAP",OUTGOING,Add liquidity to pool
0x0b4c7e4d,add_liquidity,"BANCOR, CURVE",OUTGOING,Adds liquidity to pool
0xe8e33700,addLiquidity,"ACROSS, ALLBRIDGE, BEETHOVEN, BETSWIRL, BISWAP, CAMELOT, CELER, CHRONOS, DRIFT, DYSTOPIA, HASHFLOW, HEGIC, HOP, KYBERSWAP, LEVEL, LOOPRING, LYRA, MAVERICK, MESH_SWAP, MIX_SWAP, MONERO, MULTICHAIN, MYCELIUM, NFTX, ORBITER, PANCAKESWAP, PLATYPUS, POLYMARKET, PREMIA, QUICKSWAP, RAMSES, RAYDIUM, SOLIDLY, SPIRITSWAP, SPOOKYSWAP, STAKEWISE, STARGATE, SUDOSWAP, SUSHISWAP, SYMBIOSIS, SYNAPSE, TRADERJOE, UNISWAP, VELA, VELODROME, VULPEFI, WOMBAT, ZCASH, ZERION, ZYBERSWAP",OUTGOING,Adds liquidity to bridge pool
0x68bf9329,addLiquidity,GMX,OUTGOING,Adds liquidity to GLP
0x0f4f8da7,addLiquidity,SUSHISWAP,OUTGOING,Adds concentrated liquidity to pool
0xc5ebeaec,borrow,"ALPACA, BENQI, BLUR, COMPOUND, CREAM, EULER, FRAX, GEIST, GRANARY, HUNDRED, IRONBANK, MORPHO, RADIANT, VENUS",INCOMING,Borrows assets against collateral
0xc858f5ba,borrow,"AAVE, DYDX, TRADERJOE",INCOMING,Borrows from margin pool
0xa415bcad,borrow,AAVE,INCOMING,Borrows an amount of asset with stable or variable rate
0x89afcb44,burn,"ANKR, CAMELOT, DYSTOPIA, FRAX, KYBERSWAP, MESH_SWAP, ORCA, PANCAKESWAP, RARIBLE, SOLIDLY, SUSHISWAP, SYNTHETIX, UNISWAP",INCOMING,Burns sUSD for SNX
0x42966c68,burn,"ERC1155, ERC20, ERC3525, ERC5192, ERC721, ZCASH",OUTGOING,Burns tokens
0x9af6b617,claimDistributions,ETH_GENERIC,INCOMING,Claim token distributions
0x89f9aab7,claimDistributions,"AUGUR, BANCOR, ETH_GENERIC, HASHFLOW",INCOMING,Claims tokens from multiple distributions
0x372500ab,claimRewards,BALANCER,INCOMING,Claims mining rewards
0xe09c3b93,claimRewards,BENQI,INCOMING,Claims staking rewards
0x87788782,claimStakerReward,ETH_GENERIC,INCOMING,Claims staking rewards
0x7c3b74a1,claimStakerReward,ETH_GENERIC,INCOMING,Claim staking rewards
0xda95691a,createProposal,"ALPACA, ANKR, API3, BANCOR, BAND, BENQI, BINANCE, BULLPERKS, CENTRIFUGE, COMPOUND, DECENTRAL, DIA, DOPEX, DYDX, FRAX, GNOSIS, GOLDFINCH, GRANARY, HEGIC, ILLUVIUM, INSURACE, LENS, LIDO, LYRA, MAKER, MAPLE, MONERO, NEXUS_MUTUAL, OETH, PIREX, POCKET, PREMIA, PYTH, RADIANT, RAILWAY, REDACTED, STAKESTONE, STAKEWISE, SWELL, TELLOR, TORNADO, TRUEFI, UMA, UMBRELLA, UNSLASHED, WALLFAIR, WORMHOLE, YEARN",OUTGOING,Creates governance proposal
0xf8572260,createProposal,BALANCER,OUTGOING,Creates governance proposal
0x6e553f65,deposit,"BEETHOVEN, ERC4626, EULER, NFTX, ORCA, RARIBLE",OUTGOING,Deposits assets
0xe2bbb158,deposit,"BISWAP, KYBERSWAP, ORCA, PANCAKESWAP, QUICKSWAP, RAYDIUM, SPIRITSWAP, SPOOKYSWAP, SUSHISWAP, WOMBAT, ZAPPER",OUTGOING,Stakes LP tokens in farm
0xe8eda9df,deposit,AAVE,OUTGOING,Deposits tokens into the lending pool
0xb6b55f25,deposit,"ACROSS, CURVE, LOOPRING, PLATYPUS, VULPEFI",OUTGOING,Deposits tokens for bridging
0x43a0d066,depositPool,ETH_GENERIC,OUTGOING,Deposit into liquidity pool
0x5f7c6d37,depositPool,ETH_GENERIC,OUTGOING,Deposits assets into a yield pool
0x234c0aa9,depositSavings,ETH_GENERIC,OUTGOING,Deposit into savings protocol
